id,full_text,favorites,retweets,mentions,country,user,followers,followees
183721,Flying home to run down from the power to coming right up. 💁‍♂️😭 Today we have devalued their.,23,,10,ECUADOR,leonardokuffo,389,258
183722,Today we commemorate and MNML Case.,500,21,,BRASIL,mateusmartins,982,1822
183723,Today we have reached US$6.55 Billion TT$44…,190,123,6,MEXICO,pedrojuarez,12,129
183724,Faking It by Joel Atwell. Written by Other countries have devalued their currency retrenched thousands?,131,76,3,ECUADOR,galocastillo,332,378
183725,Welcome back! 🙌,113,130,9,MEXICO,pedrojuarez,12,129
183726,Contest: Win a fan of his ass. #thatisall Thanks!,492,70,6,BRASIL,mateusmartins,982,1822
183727,80's & friends! ✈️,158,40,22,ECUADOR,leonardokuffo,389,258
183728,Thank you guess how did I feel somewhat offended tha,,50,10,MEXICO,pedrojuarez,12,129
183729,OnePlus 8 international giveaway classifies,198,82,26,MEXICO,pedrojuarez,12,129
183730,Here it is.. Retweet this desperate,272,92,29,BRASIL,mateusmartins,982,1822
183731,Great to advertise during the year I tweeted a lot from Prague,43,111,8,BRASIL,mateusmartins,982,1822
183732,Its been in love with the game with the original Monokai colorization for programming,349,44,19,BRASIL,mateusmartins,982,1822
183733,Programming is the best!,467,69,10,ECUADOR,leonardokuffo,389,258
183734,I cannot believe this!,50,24,22,ECUADOR,leonardokuffo,389,258
183735,Buy this product NOW!!,418,24,2,MEXICO,gabrielcarvajal,21,2721
183736,I have one is best color gradients: Just released some photos,361,92,1,MEXICO,pedrojuarez,12,129
183737,PIC!!,346,115,24,BRASIL,lucasperes,82,351
183738,hmmm feeling bad today,296,93,29,MEXICO,gabrielcarvajal,21,2721
183739,not feeling god right now,315,26,10,ECUADOR,galocastillo,332,378
183740,Programming is a hot topic!,133,145,15,BRASIL,lucasperes,82,351
183741,Programming? i love it!,92,146,1,ECUADOR,galocastillo,332,378
183742,WHAT???,255,73,17,ECUADOR,galocastillo,332,378
183743,Amazing video by Leonardo!,432,95,18,BRASIL,lucasperes,82,351
183744,Thanks man!,430,143,28,BRASIL,lucasperes,,351
183745,There is nothing better than programming!,424,110,29,BRASIL,lucasperes,82,351
183746,BORED AF,488,28,27,MEXICO,gabrielcarvajal,21,2721
183747,I do not know if i like programming or other thing better,318,58,20,BRASIL,isabelladasilva,928,9918
